Subject,Age_Month,Stimuli,Types,Correct,Repeated,Group,VMA,Raven,Sex
Subject 10 Typically developing children,94,8,Structural,VRAI,0,Typically developing children,116-127,109,F
Subject 10 Typically developing children,94,12,Structural,VRAI,0,Typically developing children,116-127,109,F
Subject 10 Typically developing children,94,16,Structural,VRAI,0,Typically developing children,116-127,109,F
Subject 10 Typically developing children,94,20,Structural,FAUX,0,Typically developing children,116-127,109,F
Subject 10 Typically developing children,94,24,Structural,VRAI,0,Typically developing children,116-127,109,F
Subject 10 Typically developing children,94,28,Structural,VRAI,0,Typically developing children,116-127,109,F
Subject 10 Typically developing children,94,36,Structural,VRAI,0,Typically developing children,116-127,109,F
Subject 10 Typically developing children,94,40,Structural,VRAI,0,Typically developing children,116-127,109,F
Subject 11 Typically developing children,83,1,Existential,FAUX,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,5,Existential,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,9,Existential,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,13,Existential,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,17,Existential,FAUX,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,21,Existential,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,25,Existential,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,29,Existential,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,33,Existential,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,37,Existential,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,2,Factive,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,6,Factive,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,10,Factive,FAUX,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,14,Factive,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,18,Factive,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,22,Factive,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,26,Factive,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,30,Factive,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,34,Factive,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,38,Factive,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,3,Lexical,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,7,Lexical,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,11,Factive,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,19,Lexical,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,23,Lexical,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,27,Lexical,FAUX,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,31,Lexical,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,35,Factive,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,39,Lexical,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,4,Structural,FAUX,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,8,Structural,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,12,Structural,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,16,Structural,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,20,Structural,FAUX,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,24,Structural,VRAI,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,28,Structural,FAUX,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,36,Structural,FAUX,0,Typically developing children,92-103,109,F
Subject 11 Typically developing children,83,40,Structural,VRAI,0,Typically developing children,92-103,109,F
Subject 12 Typically developing children,87,1,Existential,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,5,Existential,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,9,Existential,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,13,Existential,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,17,Existential,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,21,Existential,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,25,Existential,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,29,Existential,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,33,Existential,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,37,Existential,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,2,Factive,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,6,Factive,FAUX,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,10,Factive,FAUX,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,14,Factive,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,18,Factive,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,22,Factive,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,26,Factive,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,30,Factive,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,34,Factive,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,38,Factive,FAUX,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,3,Lexical,FAUX,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,7,Lexical,FAUX,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,11,Factive,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,19,Lexical,FAUX,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,23,Lexical,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,27,Lexical,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,31,Lexical,FAUX,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,35,Factive,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,39,Lexical,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,4,Structural,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,8,Structural,FAUX,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,12,Structural,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,16,Structural,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,20,Structural,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,24,Structural,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,28,Structural,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,36,Structural,VRAI,0,Typically developing children,92-103,125,M
Subject 12 Typically developing children,87,40,Structural,VRAI,0,Typically developing children,92-103,125,M
Subject 13 Typically developing children,89,1,Existential,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,5,Existential,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,9,Existential,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,13,Existential,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,17,Existential,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,21,Existential,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,25,Existential,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,29,Existential,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,33,Existential,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,37,Existential,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,2,Factive,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,6,Factive,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,10,Factive,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,14,Factive,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,18,Factive,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,22,Factive,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,26,Factive,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,30,Factive,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,34,Factive,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,38,Factive,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,3,Lexical,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,7,Lexical,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,11,Factive,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,19,Lexical,FAUX,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,23,Lexical,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,27,Lexical,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,31,Lexical,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,35,Factive,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,39,Lexical,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,4,Structural,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,8,Structural,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,12,Structural,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,16,Structural,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,20,Structural,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,24,Structural,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,28,Structural,FAUX,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,36,Structural,VRAI,0,Typically developing children,92-103,105,M
Subject 13 Typically developing children,89,40,Structural,VRAI,0,Typically developing children,92-103,105,M
Subject 14 Typically developing children,99,1,Existential,FAUX,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,5,Existential,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,9,Existential,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,13,Existential,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,17,Existential,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,21,Existential,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,25,Existential,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,29,Existential,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,33,Existential,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,37,Existential,FAUX,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,2,Factive,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,6,Factive,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,10,Factive,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,14,Factive,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,18,Factive,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,22,Factive,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,26,Factive,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,30,Factive,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,34,Factive,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,38,Factive,FAUX,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,3,Lexical,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,7,Lexical,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,11,Factive,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,19,Lexical,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,23,Lexical,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,27,Lexical,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,31,Lexical,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,35,Factive,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,39,Lexical,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,4,Structural,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,8,Structural,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,12,Structural,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,16,Structural,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,20,Structural,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,24,Structural,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,28,Structural,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,36,Structural,VRAI,0,Typically developing children,104-115,112,M
Subject 14 Typically developing children,99,40,Structural,VRAI,0,Typically developing children,104-115,112,M
Subject 15 Typically developing children,85,1,Existential,FAUX,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,5,Existential,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,9,Existential,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,13,Existential,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,17,Existential,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,21,Existential,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,25,Existential,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,29,Existential,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,33,Existential,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,37,Existential,FAUX,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,2,Factive,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,6,Factive,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,10,Factive,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,14,Factive,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,18,Factive,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,22,Factive,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,26,Factive,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,30,Factive,FAUX,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,34,Factive,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,38,Factive,FAUX,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,3,Lexical,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,7,Lexical,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,11,Factive,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,19,Lexical,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,23,Lexical,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,27,Lexical,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,31,Lexical,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,35,Factive,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,39,Lexical,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,4,Structural,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,8,Structural,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,12,Structural,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,16,Structural,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,20,Structural,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,24,Structural,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,28,Structural,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,36,Structural,VRAI,0,Typically developing children,92-103,116,F
Subject 15 Typically developing children,85,40,Structural,VRAI,0,Typically developing children,92-103,116,F
Subject 16 Typically developing children,89,1,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,5,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,9,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,13,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,17,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,21,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,25,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,29,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,33,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,37,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,2,Factive,FAUX,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,6,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,10,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,14,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,18,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,22,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,26,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,30,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,34,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,38,Factive,FAUX,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,3,Lexical,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,7,Lexical,FAUX,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,11,Factive,FAUX,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,19,Lexical,FAUX,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,23,Lexical,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,27,Lexical,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,31,Lexical,FAUX,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,35,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,39,Lexical,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,4,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,8,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,12,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,16,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,20,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,24,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,28,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,36,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 16 Typically developing children,89,40,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 17 Typically developing children,83,1,Existential,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,5,Existential,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,9,Existential,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,13,Existential,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,17,Existential,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,21,Existential,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,25,Existential,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,29,Existential,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,33,Existential,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,37,Existential,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,2,Factive,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,6,Factive,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,10,Factive,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,14,Factive,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,18,Factive,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,22,Factive,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,26,Factive,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,30,Factive,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,34,Factive,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,38,Factive,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,3,Lexical,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,7,Lexical,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,11,Factive,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,19,Lexical,FAUX,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,23,Lexical,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,27,Lexical,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,31,Lexical,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,35,Factive,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,39,Lexical,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,4,Structural,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,8,Structural,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,12,Structural,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,16,Structural,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,20,Structural,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,24,Structural,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,28,Structural,FAUX,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,36,Structural,VRAI,0,Typically developing children,92-103,104,M
Subject 17 Typically developing children,83,40,Structural,VRAI,0,Typically developing children,92-103,104,M
Subject 18 Typically developing children,81,1,Existential,FAUX,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,5,Existential,FAUX,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,9,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,13,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,17,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,21,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,25,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,29,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,33,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,37,Existential,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,2,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,6,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,10,Factive,FAUX,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,14,Factive,FAUX,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,18,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,22,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,26,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,30,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,34,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,38,Factive,FAUX,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,3,Lexical,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,7,Lexical,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,11,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,19,Lexical,FAUX,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,23,Lexical,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,27,Lexical,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,31,Lexical,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,35,Factive,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,39,Lexical,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,4,Structural,FAUX,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,8,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,12,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,16,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,20,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,24,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,28,Structural,VRAI,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,36,Structural,FAUX,0,Typically developing children,92-103,126,M
Subject 18 Typically developing children,81,40,Structural,FAUX,0,Typically developing children,92-103,126,M
Subject 19 Typically developing children,86,1,Existential,FAUX,0,Typically developing children,92-103,120,F
Subject 19 Typically developing children,86,5,Existential,VRAI,0,Typically developing children,92-103,120,F
Subject 19 Typically developing children,86,9,Existential,VRAI,0,Typically developing children,92-103,120,F
Subject 19 Typically developing children,86,13,Existential,VRAI,0,Typically developing children,92-103,120,F
Subject 19 Typically developing children,86,17,Existential,FAUX,0,Typically developing children,92-103,120,F
Subject 19 Typically developing children,86,21,Existential,VRAI,0,Typically developing children,92-103,120,F
Subject 19 Typically developing children,86,25,Existential,VRAI,0,Typically developing children,92-103,120,F
Subject 19 Typically developing children,86,29,Existential,VRAI,0,Typically developing children,92-103,120,F
Subject 19 Typically developing children,86,33,Existential,VRAI,0,Typically developing children,92-103,120,F
Subject 19 Typically developing children,86,37,Existential,VRAI,0,Typically developing children,92-103,120,F
Subject 19 Typically developing children,86,2,Factive,VRAI,0,Typically developing children,92-103,120,F
